year,route_id,distance,passengers_daily,airfare,market_share
1999,294,256,152,254,0.9821000099182129
2000,294,256,147,289,0.988099992275238
1997,295,2297,236,331,0.7526000142097473
1998,295,2297,305,372,0.6708999872207642
1999,295,2297,385,295,0.7032999992370605
2000,295,2297,320,376,0.6941999793052673
1997,296,576,213,228,0.4843999743461609
1998,296,576,218,222,0.49330002069473267
1999,296,576,202,238,0.46880000829696655
2000,296,576,213,243,0.4934000074863434
1997,297,508,337,185,0.8307999968528748
1998,297,508,348,186,0.8547000288963318
1999,297,508,346,199,0.8715000152587891
2000,297,508,341,202,0.8858999609947205
1997,298,328,423,214,0.9573000073432922
1998,298,328,482,210,0.9573000073432922
1999,298,328,521,212,0.9519999623298645
2000,298,328,453,252,0.9651999473571777
1997,299,264,618,259,0.5934999585151672
1998,299,264,648,252,0.5813000202178955
1999,299,264,1153,124,0.48249998688697815
2000,299,264,690,236,0.5877000093460083
1997,300,310,2651,79,0.33150002360343933
1998,300,310,2559,81,0.33070001006126404
1999,300,310,2665,82,0.335099995136261
2000,300,310,2312,103,0.426800012588501
1997,301,912,240,166,0.7193000316619873
1998,301,912,184,196,0.8580000400543213
1999,301,912,170,220,0.8355000019073486
2000,301,912,177,210,0.8137000203132629
1997,302,667,130,169,0.5552999973297119
1998,302,667,128,209,0.5706999897956848
1999,302,667,142,197,0.47519999742507935
2000,302,667,84,199,0.6140000224113464
1997,303,284,1732,77,0.34130001068115234
1998,303,284,1861,80,0.3522999882698059
1999,303,284,1567,92,0.4975000023841858
2000,303,284,1160,100,0.5899999737739563
1997,304,800,2558,256,0.6769000291824341
1998,304,800,2950,218,0.5933000445365906
1999,304,800,2929,224,0.5615000128746033
2000,304,800,2829,248,0.5127999782562256
1997,305,240,273,179,0.6711000204086304
1998,305,240,287,183,0.5763000249862671
1999,305,240,206,213,0.6017000079154968
2000,305,240,268,176,0.48900002241134644
1997,306,888,2476,143,0.6437999606132507
1998,306,888,2377,174,0.5645000338554382
1999,306,888,2378,187,0.5587999820709229
2000,306,888,2691,178,0.5157999992370605
1997,307,299,288,235,0.7324000000953674
1998,307,299,311,184,0.7195999622344971
1999,307,299,302,183,0.6462999582290649
2000,307,299,253,201,0.5629000067710876
1997,308,233,3657,77,0.42570000886917114
1998,308,233,3636,79,0.39090001583099365
1999,308,233,3768,77,0.40880000591278076
2000,308,233,3310,89,0.4359999895095825
1997,309,1236,227,222,0.6809999942779541
1998,309,1236,236,223,0.8068000078201294
1999,309,1236,263,201,0.6820999979972839
2000,309,1236,247,211,0.7451000213623047
1997,310,1174,1264,172,0.32029998302459717
1998,310,1174,1543,159,0.2971999943256378
1999,310,1174,1683,161,0.28540000319480896
2000,310,1174,2175,156,0.27809998393058777
1997,311,1120,818,165,0.39570000767707825
1998,311,1120,931,155,0.45159998536109924
1999,311,1120,956,160,0.4383000135421753
2000,311,1120,1150,156,0.28139999508857727
1997,312,590,233,268,0.7396000027656555
1998,312,590,319,214,0.7362000346183777
1999,312,590,278,189,0.6987999677658081
2000,312,590,258,234,0.5936000347137451
1997,313,595,227,238,0.5740000009536743
1998,313,595,239,200,0.5745999813079834
1999,313,595,206,229,0.5604000091552734
2000,313,595,165,284,0.5785999894142151
1997,314,783,691,266,0.45750001072883606
1998,314,783,607,273,0.4569000005722046
1999,314,783,1030,147,0.42330002784729004
2000,314,783,1106,166,0.4138000011444092
1997,315,925,1683,177,0.3425999879837036
1998,315,925,1690,185,0.3441999852657318
1999,315,925,1835,173,0.3400999903678894
2000,315,925,1917,186,0.3666999936103821
1997,316,162,989,82,0.4245000183582306
1998,316,162,977,89,0.44279998540878296
1999,316,162,948,83,0.4253000020980835
2000,316,162,808,104,0.43959999084472656
1997,317,666,219,116,0.67330002784729
1998,317,666,238,123,0.6648000478744507
1999,317,666,258,119,0.6805999875068665
2000,317,666,234,129,0.694100022315979
1997,318,865,466,146,0.44290000200271606
1998,318,865,468,160,0.5121999979019165
1999,318,865,578,148,0.34869998693466187
2000,318,865,551,162,0.36740002036094666
1997,319,405,2423,73,0.48019999265670776
1998,319,405,2606,69,0.4836999773979187
1999,319,405,2498,80,0.4822999835014343
2000,319,405,2281,86,0.5142999887466431
1997,320,475,186,206,0.8137999773025513
1998,320,475,201,180,0.7928000092506409
1999,320,475,223,172,0.7630000114440918
2000,320,475,196,179,0.7903000116348267
1997,321,1515,2135,155,0.29429998993873596
1998,321,1515,2260,163,0.3322000205516815
1999,321,1515,2986,149,0.3313000202178955
2000,321,1515,3146,151,0.26829999685287476
1997,322,323,153,134,0.7748000621795654
1998,322,323,150,129,0.8424999713897705
1999,322,323,136,161,0.8276000022888184
2000,322,323,96,217,0.7932000160217285
1997,323,467,117,114,0.9262999892234802
1998,323,467,108,122,0.8758000135421753
1999,323,467,117,129,0.9133999347686768
2000,323,467,62,173,0.8884999752044678
1997,324,544,351,113,0.5291999578475952
1998,324,544,316,131,0.5316999554634094
1999,324,544,320,127,0.5270000100135803
2000,324,544,339,142,0.4618000090122223
1997,325,1745,3326,244,0.38189998269081116
1998,325,1745,3357,253,0.382999986410141
1999,325,1745,3766,230,0.3878999948501587
2000,325,1745,3965,222,0.41769999265670776
1997,326,271,904,72,0.7080000042915344
1998,326,271,918,79,0.7669000029563904
1999,326,271,937,70,0.7244999408721924
2000,326,271,930,76,0.7491999864578247
1997,327,843,158,256,0.8752999901771545
1998,327,843,504,133,0.5073000192642212
1999,327,843,621,150,0.47429999709129333
2000,327,843,586,156,0.47110000252723694
1997,328,491,423,219,0.5270999670028687
1998,328,491,451,206,0.5268999934196472
1999,328,491,453,201,0.4511999785900116
2000,328,491,420,209,0.38919997215270996
1997,329,1197,1467,171,0.5
1998,329,1197,1337,194,0.5049000382423401
1999,329,1197,1263,206,0.46299999952316284
2000,329,1197,1069,221,0.4747999906539917
1997,330,345,3195,167,0.5608999729156494
1998,330,345,2998,175,0.5415000319480896
1999,330,345,3072,178,0.5636999607086182
2000,330,345,3447,148,0.4861000180244446
1997,331,754,148,126,0.5859000086784363
1998,331,754,157,120,0.41259998083114624
1999,331,754,142,122,0.5056999921798706
2000,331,754,210,95,0.51419997215271
1997,332,395,1208,89,0.5095000267028809
1998,332,395,1186,92,0.5056999921798706
1999,332,395,1259,87,0.5350000262260437
2000,332,395,1148,100,0.5784000158309937
1997,333,837,830,151,0.3666999936103821
1998,333,837,856,148,0.3813000023365021
1999,333,837,893,162,0.3600999712944031
2000,333,837,909,159,0.3352999985218048
1997,334,727,7228,229,0.38259997963905334
1998,334,727,7349,217,0.35099998116493225
1999,334,727,7336,212,0.3595000207424164
2000,334,727,7304,245,0.35429999232292175
1997,335,717,234,230,0.6819000244140625
1998,335,717,243,209,0.7208999395370483
1999,335,717,247,210,0.6762000322341919
2000,335,717,246,219,0.6118000149726868
1997,336,1836,354,294,0.6345999836921692
1998,336,1836,263,364,0.7318000197410583
1999,336,1836,364,321,0.6654000282287598
2000,336,1836,395,345,0.7058999538421631
1997,337,693,309,157,0.5351999998092651
1998,337,693,319,157,0.5931999683380127
1999,337,693,321,156,0.4765999913215637
2000,337,693,299,169,0.4652999937534332
1997,338,423,903,81,0.515999972820282
1998,338,423,937,89,0.5763999819755554
1999,338,423,951,83,0.5741000175476074
2000,338,423,916,92,0.6151999831199646
1997,339,1701,335,244,0.5145000219345093
1998,339,1701,333,235,0.5270999670028687
1999,339,1701,325,216,0.45019999146461487
2000,339,1701,340,216,0.49779999256134033
1997,340,1005,2616,148,0.34389999508857727
1998,340,1005,2763,143,0.33180001378059387
1999,340,1005,2843,148,0.31370002031326294
2000,340,1005,3005,149,0.281000018119812
1997,341,678,1834,245,0.4404999911785126
1998,341,678,1853,242,0.4509999752044678
1999,341,678,2147,213,0.35569998621940613
2000,341,678,2283,214,0.3553999960422516
1997,342,1440,2619,174,0.28299999237060547
1998,342,1440,2656,174,0.29919999837875366
1999,342,1440,3068,162,0.31200000643730164
2000,342,1440,2960,164,0.2777000069618225
1997,343,412,737,223,0.5727999806404114
1998,343,412,980,171,0.4059999883174896
1999,343,412,1113,155,0.4147999882698059
2000,343,412,935,185,0.42640000581741333
1997,344,901,119,272,0.800000011920929
1998,344,901,132,238,0.8630000352859497
1999,344,901,113,265,0.7837000489234924
2000,344,901,105,278,0.7541000247001648
1997,345,1740,525,281,0.5042999982833862
1998,345,1740,598,267,0.5494999885559082
1999,345,1740,653,265,0.5485000014305115
2000,345,1740,643,280,0.5738999843597412
1997,346,849,717,134,0.42330002784729004
1998,346,849,861,134,0.3441999852657318
1999,346,849,1051,135,0.35040000081062317
2000,346,849,874,154,0.340800017118454
1997,347,647,791,191,0.5341999530792236
1998,347,647,728,200,0.5453000068664551
1999,347,647,1163,102,0.4477999806404114
2000,347,647,1156,133,0.4277999997138977
1997,348,1672,309,149,0.7379000186920166
1998,348,1672,368,165,0.7176999449729919
1999,348,1672,304,180,0.6266000270843506
2000,348,1672,275,179,0.6646000146865845
1997,349,642,263,290,0.7578999996185303
1998,349,642,314,251,0.7787999510765076
1999,349,642,291,281,0.815500020980835
2000,349,642,268,286,0.7107999920845032
1997,350,528,291,261,0.4715000092983246
1998,350,528,285,245,0.5218999981880188
1999,350,528,231,228,0.5286999940872192
2000,350,528,307,178,0.5483999848365784
1997,351,1782,258,326,0.5910999774932861
1998,351,1782,265,314,0.671999990940094
1999,351,1782,357,257,0.6119999885559082
2000,351,1782,380,277,0.6122000217437744
1997,352,1250,565,211,0.45330002903938293
1998,352,1250,575,209,0.37860000133514404
1999,352,1250,546,200,0.34470000863075256
2000,352,1250,581,231,0.351500004529953
1997,353,1041,564,187,0.4794999957084656
1998,353,1041,532,193,0.4977000057697296
1999,353,1041,575,195,0.4974000155925751
2000,353,1041,588,225,0.4641000032424927
1997,354,1724,948,258,0.3224000036716461
1998,354,1724,922,257,0.37209999561309814
1999,354,1724,1154,221,0.3929000198841095
2000,354,1724,1157,239,0.45490002632141113
1997,355,1846,2252,324,0.5171999931335449
1998,355,1846,2337,303,0.5486000180244446
1999,355,1846,2601,302,0.534500002861023
2000,355,1846,2679,324,0.5309000015258789
1997,356,1830,493,324,0.38819998502731323
1998,356,1830,603,277,0.4161999821662903
1999,356,1830,625,331,0.41130000352859497
2000,356,1830,772,351,0.44449999928474426
1997,357,1727,706,321,0.4246000051498413
1998,357,1727,659,337,0.4684999883174896
1999,357,1727,636,311,0.5074000358581543
2000,357,1727,913,245,0.5221999883651733
1997,358,1036,269,148,0.7409999966621399
1998,358,1036,244,147,0.6340000033378601
1999,358,1036,255,151,0.6097000241279602
2000,358,1036,274,146,0.6381999850273132
1997,359,773,172,146,0.6519999504089355
1998,359,773,194,148,0.5315999984741211
1999,359,773,120,151,0.4620000123977661
2000,359,773,131,141,0.5170999765396118
1997,360,1721,967,290,0.49630001187324524
1998,360,1721,988,287,0.5586000084877014
1999,360,1721,1113,284,0.5353000164031982
2000,360,1721,1275,269,0.524399995803833
1997,361,251,2610,72,0.42730000615119934
1998,361,251,2690,74,0.43130001425743103
1999,361,251,2745,81,0.4645000100135803
2000,361,251,2399,92,0.4659999907016754
1997,362,608,223,232,0.4620000123977661
1998,362,608,232,228,0.48360002040863037
1999,362,608,217,227,0.5134999752044678
2000,362,608,251,186,0.42340001463890076
1997,363,1012,1824,153,0.3833000063896179
1998,363,1012,1950,148,0.3560999929904938
1999,363,1012,2083,153,0.3345000147819519
2000,363,1012,1951,160,0.26910001039505005
1997,364,1437,299,221,0.6431999802589417
1998,364,1437,333,218,0.6972000002861023
1999,364,1437,389,198,0.7323000431060791
2000,364,1437,381,196,0.7794000506401062
1997,365,585,392,142,0.7049999833106995
1998,365,585,368,151,0.7021999955177307
1999,365,585,368,156,0.6136000156402588
2000,365,585,289,153,0.6487999558448792
1997,366,604,2374,184,0.6335999965667725
1998,366,604,2368,187,0.6205999851226807
1999,366,604,2728,176,0.6150000095367432
2000,366,604,2486,204,0.6687999963760376
1997,367,1145,471,186,0.3885999917984009
1998,367,1145,481,194,0.46700000762939453
1999,367,1145,420,228,0.40400001406669617
2000,367,1145,367,225,0.39959999918937683
1997,368,738,577,304,0.6507999897003174
1998,368,738,573,294,0.6097000241279602
1999,368,738,479,319,0.6000000238418579
2000,368,738,487,340,0.5570999979972839
1997,369,589,127,262,0.8485000133514404
1998,369,589,124,240,0.8959999680519104
1999,369,589,125,241,0.850600004196167
2000,369,589,106,272,0.8276999592781067
1997,370,812,350,290,0.62779998779296875
1998,370,812,338,287,0.6419000029563904
1999,370,812,314,310,0.6152999997138977
2000,370,812,311,344,0.6377999782562256
1997,371,1069,237,253,0.8126000165939331
1998,371,1069,346,217,0.810699999332428
1999,371,1069,335,227,0.7119999527931213
2000,371,1069,345,225,0.8206999897956848
1997,372,933,196,175,0.8916999697685242
1998,372,933,234,156,0.9033999443054199
1999,372,933,208,190,0.9061000347137451
2000,372,933,276,170,0.9094999432563782
1997,373,880,182,159,0.9187000393867493
1998,373,880,181,160,0.9135000109672546
1999,373,880,177,181,0.9337000250816345
2000,373,880,228,171,0.9251999855041504
1997,374,881,186,286,0.8019999861717224
1998,374,881,156,239,0.6004000306129456
1999,374,881,90,254,0.4975999891757965
2000,374,881,206,284,0.5447999835014343
1997,375,1679,160,201,0.8129000067710876
1998,375,1679,172,210,0.7648999691009521
1999,375,1679,173,236,0.7423000335693359
2000,375,1679,245,206,0.8123999834060669
1997,376,1901,286,312,0.75
1998,376,1901,303,321,0.7339000105857849
1999,376,1901,310,325,0.7477999925613403
2000,376,1901,351,316,0.7376999855041504
1997,377,949,217,169,0.8808000087738037
1998,377,949,224,165,0.8654000163078308
1999,377,949,232,174,0.8851999640464783
2000,377,949,203,191,0.8806999921798706
1997,378,596,230,248,0.4220000207424164
1998,378,596,282,218,0.4838000237941742
1999,378,596,436,144,0.453499972820282
2000,378,596,354,261,0.5091999769210815
1997,379,580,878,239,0.7957000136375427
1998,379,580,999,236,0.778499960899353
1999,379,580,1015,234,0.7540000081062317
2000,379,580,971,259,0.7358999848365784
1997,380,756,384,155,0.7576000094413757
1998,380,756,413,154,0.9219000339508057
1999,380,756,354,184,0.9266000390052795
2000,380,756,425,176,0.8995999693870544
1997,381,507,298,255,0.6962999701499939
1998,381,507,364,246,0.6258000135421753
1999,381,507,353,260,0.6029000282287598
2000,381,507,320,291,0.5633000135421753
1997,382,1570,209,243,0.840999960899353
1998,382,1570,167,275,0.8758999705314636
1999,382,1570,148,285,0.772599995136261
2000,382,1570,218,268,0.8455999493598938
1997,383,2037,288,307,0.7394999861717224
1998,383,2037,265,333,0.8046000003814697
1999,383,2037,292,342,0.7271000146865845
2000,383,2037,315,312,0.7405000329017639
1997,384,1966,144,327,0.8032000064849854
1998,384,1966,146,322,0.7766000628471375
1999,384,1966,138,341,0.7049999833106995
2000,384,1966,171,290,0.7473000288009644
1997,385,773,242,183,0.8994999527931213
1998,385,773,281,163,0.9094999432563782
1999,385,773,285,182,0.8740000128746033
2000,385,773,338,178,0.8933999538421631
1997,386,409,341,217,0.9180999994277954
1998,386,409,306,203,0.8888999819755554
1999,386,409,317,200,0.8815000057220459
2000,386,409,421,224,0.871399998664856
1997,387,1021,400,291,0.5422000288963318
1998,387,1021,420,282,0.5803999900817871
1999,387,1021,385,291,0.4715999960899353
2000,387,1021,367,331,0.490200012922287
1997,388,1202,334,220,0.4458000063896179
1998,388,1202,351,211,0.4453999996185303
1999,388,1202,290,262,0.44830000400543213
2000,388,1202,327,273,0.43630000948905945
1997,389,95,174,183,0.770799994468689
1998,389,95,164,138,0.7387000322341919
1999,389,95,146,162,0.7631999850273132
2000,389,95,130,203,0.6948000192642212
1997,390,1062,435,155,0.7003999948501587
1998,390,1062,430,142,0.7296000123023987
1999,390,1062,447,158,0.6897000074386597
2000,390,1062,429,169,0.7158000469207764
1997,391,1026,272,165,0.6917999982833862
1998,391,1026,334,148,0.6624000072479248
1999,391,1026,325,171,0.7328000068664551
2000,391,1026,371,173,0.7644999623298645
1997,392,475,193,229,0.8308999538421631
1998,392,475,176,225,0.8423000574111938
1999,392,475,217,199,0.7053999900817871
2000,392,475,246,181,0.6072999835014343
1997,393,1092,505,214,0.7102999687194824
1998,393,1092,480,224,0.7687999606132507
1999,393,1092,550,212,0.7738999724388123
2000,393,1092,506,240,0.738099992275238
1997,394,261,222,138,0.7785999774932861
1998,394,261,195,174,0.7746999859809875
1999,394,261,201,183,0.7723000049591064
2000,394,261,176,220,0.7251999378204346
1997,395,695,280,120,0.6284999847412109
1998,395,695,271,120,0.5777999758720398
1999,395,695,266,125,0.6758999824523926
2000,395,695,239,151,0.5922000408172607
1997,396,1826,553,159,0.5706000328063965
1998,396,1826,492,179,0.6987000107765198
1999,396,1826,686,165,0.6341000199317932
2000,396,1826,743,165,0.6757000088691711
1997,397,2054,551,243,0.5516999959945679
1998,397,2054,492,242,0.5683000087738037
1999,397,2054,590,229,0.5824999809265137
2000,397,2054,610,242,0.6043000221252441
1997,398,1081,229,181,0.4509999752044678
1998,398,1081,268,154,0.4580000042915344
1999,398,1081,296,168,0.4733999967575073
2000,398,1081,250,173,0.5070000290870667
1997,399,328,232,192,0.5393999814987183
1998,399,328,209,203,0.6245999932289124
1999,399,328,229,211,0.5699000358581543
2000,399,328,209,222,0.4896000027656555
1997,400,622,282,274,0.7255000472068787
1998,400,622,284,262,0.6319000124931335
1999,400,622,307,280,0.5568000078201294
2000,400,622,301,295,0.5964000225067139
1997,401,448,460,72,0.6787999868392944
1998,401,448,446,77,0.6922000050544739
1999,401,448,540,72,0.6805000305175781
2000,401,448,504,79,0.6665000319480896
1997,402,412,1330,217,0.8594000339508057
1998,402,412,1246,218,0.8641000390052795
1999,402,412,1258,231,0.7639999985694885
2000,402,412,1189,255,0.8016000390052795
1997,403,895,508,143,0.6542999744415283
1998,403,895,842,113,0.5099999904632568
1999,403,895,686,143,0.6858999729156494
2000,403,895,721,149,0.7109999656677246
1997,404,363,350,262,0.5141000151634216
1998,404,363,341,251,0.4950999915599823
1999,404,363,338,281,0.4968000054359436
2000,404,363,349,284,0.5191999673843384
1997,405,1738,554,168,0.4609000086784363
1998,405,1738,465,175,0.47519999742507935
1999,405,1738,486,180,0.48570001125335693
2000,405,1738,514,180,0.5371000170707703
1997,406,540,263,136,0.6438999772071838
1998,406,540,295,125,0.7423000335693359
1999,406,540,277,162,0.6198999881744385
2000,406,540,233,180,0.4456999897956848
1997,407,1569,112,195,0.36340001225471497
1998,407,1569,98,202,0.3411000072956085
1999,407,1569,118,186,0.36910000443458557
2000,407,1569,117,192,0.3781000077724457
1997,408,2029,207,199,0.41349998116493225
1998,408,2029,200,219,0.49000000953674316
1999,408,2029,260,186,0.4786999821662903
2000,408,2029,230,218,0.28440001606941223
1997,409,2162,382,251,0.6265000104904175
1998,409,2162,367,258,0.5857999920845032
1999,409,2162,383,259,0.6032000184059143
2000,409,2162,422,272,0.6737000346183777
1997,410,2026,159,277,0.3347000181674957
1998,410,2026,145,303,0.2831999957561493
1999,410,2026,194,251,0.33390000462532043
2000,410,2026,194,243,0.24690000712871552
1997,411,487,553,78,0.5151000022888184
1998,411,487,600,76,0.5267999768257141
1999,411,487,636,75,0.43689998984336853
2000,411,487,530,91,0.4602999985218048
1997,412,927,471,144,0.6922000050544739
1998,412,927,515,130,0.7280000448226929
1999,412,927,511,150,0.6650000214576721
2000,412,927,516,155,0.6908999681472778
1997,413,308,342,156,0.8437999486923218
1998,413,308,398,111,0.9521999955177307
1999,413,308,316,151,0.9462999701499939
2000,413,308,282,191,0.9556999802589417
1997,414,1022,132,167,0.3322000205516815
1998,414,1022,156,157,0.3499999940395355
1999,414,1022,133,184,0.36959999799728394
2000,414,1022,152,170,0.527999997138977
1997,415,592,342,126,0.7364000082015991
1998,415,592,371,153,0.7348999977111816
1999,415,592,248,185,0.7294999957084656
2000,415,592,299,173,0.763700008392334
1997,416,811,235,132,0.5652000308036804
1998,416,811,160,194,0.5566999912261963
1999,416,811,142,229,0.6754000186920166
2000,416,811,158,224,0.5092999935150146
1997,417,992,96,127,0.414000004529953
1998,417,992,69,159,0.3849000036716461
1999,417,992,63,184,0.5407000184059143
2000,417,992,55,190,0.4254000186920166
1997,418,539,80,133,0.5940000414848328
1998,418,539,71,182,0.8307999968528748
1999,418,539,45,229,0.8039000034332275
2000,418,539,59,165,0.8503000140190125
1997,419,604,518,85,0.82089996337890625
1998,419,604,434,106,0.8684999942779541
1999,419,604,291,125,0.7998999953269958
2000,419,604,181,127,0.40950000286102295
1997,420,834,273,145,0.35169997811317444
1998,420,834,323,151,0.536300003528595
1999,420,834,257,184,0.5322999954223633
2000,420,834,251,204,0.6636000275611877
1997,421,1685,55,188,0.32089999318122864
1998,421,1685,44,202,0.3116999864578247
1999,421,1685,45,208,0.24819999933242798
2000,421,1685,46,220,0.37049999833106995
1997,422,726,166,123,0.832099974155426
1998,422,726,162,118,0.7834999561309814
1999,422,726,172,133,0.7921000123023987
2000,422,726,171,127,0.794700026512146
1997,423,1008,49,151,0.31850001215934753
1998,423,1008,69,169,0.3105999827384949
1999,423,1008,77,179,0.23839999735355377
2000,423,1008,71,184,0.46729999780654907
1997,424,1634,246,201,0.2670999765396118
1998,424,1634,188,237,0.4690000116825104
1999,424,1634,170,245,0.3456999957561493
2000,424,1634,190,237,0.34299999475479126
1997,425,461,43,125,0.5751000046730042
1998,425,461,36,192,0.513700008392334
1999,425,461,28,234,0.5382000207901001
2000,425,461,26,186,0.49160000681877136
1997,426,793,86,124,0.39160001277923584
1998,426,793,48,173,0.5011000037193298
1999,426,793,46,187,0.4895000159740448
2000,426,793,52,203,0.46779999136924744
1997,427,1524,205,144,0.5224999785423279
1998,427,1524,181,152,0.33070001006126404
1999,427,1524,119,206,0.3220999836921692
2000,427,1524,127,229,0.27219998836517334
1997,428,551,307,97,0.8369999527931213
1998,428,551,229,152,0.8601999878883362
1999,428,551,193,178,0.7641000151634216
2000,428,551,199,187,0.8212999701499939
1997,429,1030,86,162,0.5076000094413757
1998,429,1030,79,204,0.5076000094413757
1999,429,1030,54,217,0.5259999632835388
2000,429,1030,86,218,0.5038000345230103
1997,430,410,130,99,0.823199987411499
1998,430,410,87,149,0.7985000014305115
1999,430,410,73,158,0.8163999915122986
2000,430,410,73,186,0.8109999895095825
1997,431,732,86,128,0.454399973154068
1998,431,732,94,161,0.4616999924182892
1999,431,732,89,192,0.4261000156402588
2000,431,732,83,191,0.5493000149726868
1997,432,818,143,121,0.3840999901294708
1998,432,818,97,194,0.5313000082969666
1999,432,818,101,192,0.414000004529953
2000,432,818,111,186,0.4562000036239624
1997,433,964,150,154,0.48580002784729004
1998,433,964,144,177,0.5952999591827393
1999,433,964,159,176,0.6705000400543213
2000,433,964,142,209,0.4991999864578247
1997,434,944,120,203,0.5167999863624573
1998,434,944,165,190,0.37700000405311584
1999,434,944,114,254,0.48900002241134644
2000,434,944,120,262,0.5153999924659729
1997,435,1069,128,159,0.5853999853134155
1998,435,1069,116,200,0.6334999799728394
1999,435,1069,108,200,0.5529999732971191
2000,435,1069,102,224,0.4684999883174896
1997,436,520,31,142,0.5397999882698059
1998,436,520,32,203,0.49320000410079956
1999,436,520,33,220,0.5812000036239624
2000,436,520,26,254,0.5514000058174133
1997,437,1471,299,200,0.4334000051021576
1998,437,1471,233,240,0.5291000008583069
1999,437,1471,203,253,0.415800005197525
2000,437,1471,219,282,0.40130001306533813
1997,438,614,341,157,0.37229999899864197
1998,438,614,337,162,0.40299999713897705
1999,438,614,320,179,0.4178999960422516
2000,438,614,306,188,0.4836999773979187
1997,439,927,448,242,0.7486000061035156
1998,439,927,421,270,0.7516999840736389
1999,439,927,364,277,0.734000027179718
2000,439,927,372,297,0.692300021648407
1997,440,1156,209,233,0.6796000003814697
1998,440,1156,234,271,0.6895999908447266
1999,440,1156,218,302,0.6687000393867493
2000,440,1156,230,297,0.5674000382423401
1997,441,973,278,111,0.3474000096321106
1998,441,973,234,135,0.43220001459121704
1999,441,973,306,127,0.45419996976852417
2000,441,973,346,129,0.34619998931884766
1997,442,931,258,121,0.5223000049591064
1998,442,931,184,139,0.6220999956130981
1999,442,931,189,148,0.5823000073432922
2000,442,931,238,140,0.5224000215530396
1997,443,987,278,187,0.6561000347137451
1998,443,987,241,187,0.6040999889373779
1999,443,987,279,187,0.6501999497413635
2000,443,987,300,199,0.6820999979972839
1997,444,634,207,109,0.4564000070095062
1998,444,634,210,119,0.5025999546051025
1999,444,634,210,122,0.4562000036239624
2000,444,634,191,140,0.44369998574256897
1997,445,1772,543,128,0.6448999643325806
1998,445,1772,576,133,0.7294000387191772
1999,445,1772,740,121,0.684499979019165
2000,445,1772,751,132,0.6008999943733215
1997,446,1998,356,191,0.23759999871253967
1998,446,1998,472,176,0.4854999780654907
1999,446,1998,548,165,0.40479999780654907
2000,446,1998,477,183,0.262800008058548
1997,447,991,211,130,0.38929998874664307
1998,447,991,221,136,0.564300000667572
1999,447,991,191,152,0.44040000438690186
2000,447,991,180,158,0.5795999765396118
1997,448,627,216,260,0.7978000044822693
1998,448,627,223,254,0.8141999840736389
1999,448,627,213,275,0.7783999443054199
2000,448,627,218,274,0.7787999510765076
1997,449,478,1068,186,0.3659999966621399
1998,449,478,1034,196,0.3595999777317047
1999,449,478,968,214,0.38499999046325684
2000,449,478,988,207,0.35339999198913574
1997,450,802,786,98,0.541700005531311
1998,450,802,738,109,0.7267000079154968
1999,450,802,835,110,0.6951000094413757
2000,450,802,846,116,0.6641000509262085
1997,451,405,356,198,0.8084999918937683
1998,451,405,312,202,0.8238999843597412
1999,451,405,277,231,0.9235000014305115
2000,451,405,282,247,0.9312999844551086
1997,452,1672,459,167,0.6190999746322632
1998,452,1672,509,154,0.704800009727478
1999,452,1672,595,138,0.598800003528595
2000,452,1672,558,152,0.5924999713897705
1997,453,2041,93,214,0.2897000014781952
1998,453,2041,77,246,0.25459998846054077
1999,453,2041,124,157,0.30709999799728394
2000,453,2041,119,183,0.39490002393722534
1997,454,1969,193,155,0.30000001192092896
1998,454,1969,232,153,0.3309999704360962
1999,454,1969,231,149,0.19409999251365662
2000,454,1969,228,163,0.17969998717308044
1997,455,2125,232,211,0.19200000166893005
1998,455,2125,276,198,0.21790000796318054
1999,455,2125,308,177,0.20110000669956207
2000,455,2125,285,205,0.2835000157356262
1997,456,2021,183,180,0.29089999198913574
1998,456,2021,152,232,0.21969999372959137
1999,456,2021,228,161,0.364300012588501
2000,456,2021,186,194,0.3720000088214874
1997,457,410,418,68,0.5964000225067139
1998,457,410,470,70,0.6098999977111816
1999,457,410,445,68,0.5974000096321106
2000,457,410,417,89,0.6150999665260315
1997,458,829,504,100,0.30300000309944153
1998,458,829,615,105,0.5458999872207642
1999,458,829,696,111,0.5511999726295471
2000,458,829,701,113,0.4829000234603882
1997,459,320,390,135,0.6011999845504761
1998,459,320,420,162,0.6154000163078308
1999,459,320,561,113,0.6753000020980835
2000,459,320,467,142,0.5859999656677246
1997,460,352,492,87,0.6399000287055969
1998,460,352,485,91,0.638700008392334
1999,460,352,455,95,0.6851000189781189
2000,460,352,434,103,0.73580002784729
1997,461,187,482,74,0.7031999826431274
1998,461,187,467,77,0.7148999571800232
1999,461,187,464,76,0.7006999850273132
2000,461,187,420,83,0.6935999989509583
1997,462,861,194,231,0.7095999717712402
1998,462,861,274,179,0.6380000114440918
1999,462,861,240,195,0.5313000082969666
2000,462,861,270,197,0.4887000024318695
1997,463,641,1953,113,0.5227999687194824
1998,463,641,1569,210,0.4822999835014343
1999,463,641,1751,187,0.3899000287055969
2000,463,641,1930,185,0.3700000047683716
1997,464,624,191,183,0.7919000387191772
1998,464,624,153,201,0.7473000288009644
1999,464,624,140,205,0.7319999933242798
2000,464,624,153,214,0.6526999473571777
1997,465,987,868,235,0.4966999888420105
1998,465,987,931,212,0.5888000130653381
